concurrency	p50_latency_ms	p95_latency_ms	p99_latency_ms	rps	total_requests	error_rate
1	2068	2165	2397	0.48	58	0.00
3	2919	7865	8208	0.75	93	0.00
5	5407	12005	12009	0.75	95	0.00
10	11066	12714	12714	0.89	110	0.00
20	14282	15767	16231	1.39	180	0.00
35	16541	19935	19935	1.77	64	0.00
50	18724	19993	19993	2.30	32	0.00
